current_url,current_path,destination_url,destination_status,reason,historical_value_risk,portfolio_overlap,notes
https://aftertaxtool.com/affordability-calculator.html,affordability-calculator.html,/household-money/rent-affordability-calculator/,substantial-equivalent,Removed as a standalone V2 URL; legacy calculator has a materially equivalent V2 destination.,Medium,Low,Phase 0 planning classification. Human review required before implementation.
https://aftertaxtool.com/benefits-vs-salary-calculator.html,benefits-vs-salary-calculator.html,/higher-salary-vs-better-benefits.html,substantial-equivalent,Removed as a standalone V2 URL; legacy calculator has a materially equivalent V2 destination.,Medium,Low,Migration validation corrected destination to retained V2 URL.
https://aftertaxtool.com/bonus-tax-impact-calculator.html,bonus-tax-impact-calculator.html,/pay-tax/bonus-tax-calculator/,substantial-equivalent,Removed as a standalone V2 URL; legacy calculator has a materially equivalent V2 destination.,Medium,Low,Phase 0 planning classification. Human review required before implementation.
https://aftertaxtool.com/bonus-vs-salary-increase-calculator.html,bonus-vs-salary-increase-calculator.html,/bonus-vs-pay-rise.html,substantial-equivalent,Removed as a standalone V2 URL; legacy calculator has a materially equivalent V2 destination.,Medium,Low,Migration validation corrected destination to existing V2 canonical URL.
https://aftertaxtool.com/debt-to-income-calculator.html,debt-to-income-calculator.html,/borrowing-debt/loan-repayment-calculator/,substantial-equivalent,Removed as a standalone V2 URL; legacy calculator has a materially equivalent V2 destination.,Medium,Medium with WorthMyTime/CreditRoadmap,Migration validation corrected destination to existing V2 canonical URL.
https://aftertaxtool.com/emergency-fund-calculator.html,emergency-fund-calculator.html,/saving/emergency-fund-calculator/,substantial-equivalent,Legacy calculator has a materially equivalent V2 destination.,Medium,Low,Phase 0 planning classification. Human review required before implementation.
https://aftertaxtool.com/employer-pension-value-calculator.html,employer-pension-value-calculator.html,/pay-tax/pension-contribution-calculator/,substantial-equivalent,Removed as a standalone V2 URL; legacy calculator has a materially equivalent V2 destination.,Medium,Low,Migration validation corrected destination to existing V2 canonical URL.
https://aftertaxtool.com/job-offer-after-tax-calculator.html,job-offer-after-tax-calculator.html,/work-money/job-change-break-even-calculator/,substantial-equivalent,Removed as a standalone V2 URL; legacy calculator has a materially equivalent V2 destination.,Medium,Medium with WorthMyTime/CreditRoadmap,Migration validation corrected destination to existing V2 canonical URL.
https://aftertaxtool.com/job-offer-calculator.html,job-offer-calculator.html,/work-money/job-change-break-even-calculator/,substantial-equivalent,Removed as a standalone V2 URL; legacy calculator has a materially equivalent V2 destination.,Medium,Medium with WorthMyTime/CreditRoadmap,Migration validation corrected destination to existing V2 canonical URL.
https://aftertaxtool.com/mortgage-affordability-calculator.html,mortgage-affordability-calculator.html,/borrowing-debt/mortgage-payment-calculator/,substantial-equivalent,Removed as a standalone V2 URL; legacy calculator has a materially equivalent V2 destination.,Medium,Medium with WorthMyTime/CreditRoadmap,Phase 0 planning classification. Human review required before implementation.
https://aftertaxtool.com/pay-rise-calculator.html,pay-rise-calculator.html,/pay-tax/take-home-pay-calculator/,substantial-equivalent,Removed as a standalone V2 URL; legacy calculator has a materially equivalent V2 destination.,Medium,Low,Migration validation corrected destination to existing V2 canonical URL.
https://aftertaxtool.com/paycheck-deductions-calculator.html,paycheck-deductions-calculator.html,/pay-tax/take-home-pay-calculator/,substantial-equivalent,Removed as a standalone V2 URL; legacy calculator has a materially equivalent V2 destination.,Medium,Low,Phase 0 planning classification. Human review required before implementation.
https://aftertaxtool.com/payroll-deduction-calculator.html,payroll-deduction-calculator.html,/pay-tax/take-home-pay-calculator/,substantial-equivalent,Removed as a standalone V2 URL; legacy calculator has a materially equivalent V2 destination.,Medium,Low,Phase 0 planning classification. Human review required before implementation.
https://aftertaxtool.com/pension-vs-salary-calculator.html,pension-vs-salary-calculator.html,/pay-tax/pension-contribution-calculator/,substantial-equivalent,Removed as a standalone V2 URL; legacy calculator has a materially equivalent V2 destination.,Medium,Low,Phase 0 planning classification. Human review required before implementation.
https://aftertaxtool.com/raise-after-tax-calculator.html,raise-after-tax-calculator.html,/pay-tax/take-home-pay-calculator/,substantial-equivalent,Removed as a standalone V2 URL; legacy calculator has a materially equivalent V2 destination.,Medium,Low,Migration validation corrected destination to existing V2 canonical URL.
